Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Obi Toppin,PF,23,NYK,22,0,15.3,3.2,5.9,.543,0.3,1.5,.176,2.9,4.3,.674,.566,1.5,2.0,.750,1.0,2.5,3.5,1.0,0.4,0.7,1.0,1.6,8.1
Juan Toscano-Anderson,SF,28,GSW,21,1,15.9,2.0,3.6,.547,0.4,1.4,.310,1.5,2.2,.696,.607,0.6,0.8,.813,0.5,2.2,2.7,2.2,0.7,0.4,1.1,1.4,5.0
Karl-Anthony Towns,C,26,MIN,22,22,34.3,8.5,16.8,.508,2.6,5.9,.442,6.0,11.0,.544,.585,4.3,5.2,.817,2.9,6.2,9.0,3.1,1.1,1.0,3.5,3.6,24.0
Gary Trent Jr.,SG,23,TOR,21,20,34.4,6.2,14.8,.419,2.6,7.2,.362,3.6,7.5,.475,.508,1.9,2.0,.929,0.5,2.8,3.3,1.7,2.0,0.4,1.0,2.1,16.9
P.J. Tucker,PF,36,MIA,23,23,27.9,2.7,5.3,.504,1.1,2.5,.439,1.6,2.8,.563,.607,0.4,0.5,.818,1.7,4.0,5.7,1.7,0.7,0.3,0.7,2.4,6.8
Myles Turner,C,25,IND,24,24,29.0,4.6,8.8,.529,1.9,4.6,.405,2.8,4.1,.667,.636,1.8,2.5,.700,1.6,5.9,7.5,1.0,0.6,2.8,1.3,2.5,12.9
Jonas Valančiūnas,C,29,NOP,25,25,31.0,7.0,13.9,.507,1.2,2.6,.469,5.8,11.3,.516,.550,3.3,3.9,.847,3.3,8.8,12.1,2.4,0.6,0.8,2.1,3.2,18.6
Denzel Valentine,SG,28,CLE,15,0,6.5,0.7,2.4,.278,0.5,1.5,.304,0.2,0.9,.231,.375,0.0,0.0,0,0.4,0.7,1.1,0.2,0.3,0.0,0.4,0.6,1.8
Jarred Vanderbilt,PF,22,MIN,22,15,22.6,2.4,4.4,.536,0.0,0.3,.000,2.4,4.1,.571,.536,1.1,1.3,.828,3.1,5.1,8.2,1.2,1.3,0.8,1.1,3.0,5.8
Fred VanVleet,PG,27,TOR,22,22,38.3,7.2,16.2,.445,3.2,8.1,.393,4.0,8.1,.497,.543,2.6,3.0,.866,0.8,4.4,5.2,6.2,1.5,0.6,3.2,2.6,20.3
